Month,City,Merchant,Total_Sales,No_of_sales
Apr 2017,18,Joanne Valdez inc,"63,868",2
Apr 2017,19,Ella Rose 2 inc,"12,603,330",621
Apr 2017,19,Lori Joseph inc,"12,197,242",624
Apr 2017,19,Chad Tobar inc,"9,726,637",483
Apr 2017,19,Tony Moore 3 inc,"6,821,542",332
Apr 2017,19,Zachary Mayle inc,"6,030,901",298
Apr 2017,20,Justin Ganser inc,"4,363,305",221
Apr 2017,20,Natasha Bucher inc,"2,012,156",101
Apr 2017,20,Luisa Goldstein inc,"919,361",45
Apr 2017,20,Craig Miller 4 inc,"835,618",38
Apr 2017,20,Sarah Harris 5 inc,"802,740",41
Apr 2017,21,Thelma Cashen inc,"1,130,961",60
Apr 2017,21,Eldridge Williams 2 inc,"959,944",48
Apr 2017,21,Katherine Brown 4 inc,"879,089",39
Apr 2017,21,Jeffrey Starr inc,"853,148",37
Apr 2017,21,Steven Nagle inc,"795,308",41
Apr 2017,22,Phyllis Allen 2 inc,"366,892",15
Apr 2017,22,Daniel Browning inc,"275,193",13
Apr 2017,22,Allen Patrick inc,"263,757",12
Apr 2017,22,Allen Laban inc,"255,623",10
Apr 2017,22,William Roberts 10 inc,"185,745",9
Apr 2017,23,Ellen Tait inc,"483,589",28
Apr 2017,23,Ernest Lohrenz inc,"287,545",14
Apr 2017,23,Joseph Bailey 2 inc,"249,806",12
Apr 2017,23,Jennifer Hall 4 inc,"245,691",9
Apr 2017,23,Stacey Sharon inc,"186,282",10
Apr 2017,24,Francisco Hopper inc,"906,303",45
Apr 2017,24,Mariah Pugh inc,"684,961",33
Apr 2017,24,Cynthia Vargas 2 inc,"589,469",28
Apr 2017,24,Donald Sullivan 5 inc,"524,427",28
Apr 2017,24,Marvin Quinnie inc,"479,455",21
Apr 2017,25,Kathryn Carson inc,"3,542,509",175
Apr 2017,25,Kay Connolly inc,"3,106,349",157
Apr 2017,25,Rebecca Sales inc,"2,503,551",135
Apr 2017,25,John Taggart inc,"1,935,356",90
Apr 2017,25,Jeffrey Belcher 2 inc,"1,840,743",92
Apr 2017,26,Kristy Fonseca inc,"410,227",21
Apr 2017,26,Cesar Ross inc,"224,313",11
Apr 2017,26,Ivan Spruill inc,"191,832",7
Apr 2017,26,Ronald Bermeo inc,"143,361",9
Apr 2017,26,Michael Hamilton inc,"103,071",5
Apr 2017,28,Lee Hodgkiss inc,"372,327",17
Apr 2017,28,Elliott Haines inc,"298,963",13
Apr 2017,28,Marianne Riedel inc,"289,470",13
Apr 2017,28,Adam Richner inc,"240,884",13
Apr 2017,28,Jennifer Chadwell inc,"189,668",12
Apr 2017,29,Kirsten Huse inc,"931,769",47
Apr 2017,29,Raymond Plaza inc,"365,708",16
Apr 2017,29,Tarsha Chance inc,"331,265",20
Apr 2017,29,Charles Harkless inc,"298,213",15
Apr 2017,29,Paul Gaska inc,"282,399",14
Apr 2017,30,Donald Ireland inc,"1,408,048",69
Apr 2017,30,Doris King 3 inc,"1,035,025",49
Apr 2017,30,Dennis Johnson 6 inc,"934,171",48
Apr 2017,30,Clarence Streater inc,"814,040",44
Apr 2017,30,Mary Lancaster 3 inc,"728,332",34
Apr 2017,32,Harriet Reeder inc,"251,798",12
Apr 2017,32,Michael Harrison inc,"76,994",4
Apr 2017,32,Lilly Martinez inc,"69,067",5
Apr 2017,32,Adrian Rollin inc,"67,229",3
Apr 2017,32,Thomas Stone 2 inc,"61,253",3
Apr 2017,33,Nicole Crowder inc,"601,723",26
Apr 2017,33,Kathy Manders inc,"554,936",23
Apr 2017,33,Douglas Magic inc,"422,688",18
Apr 2017,33,Frederick Rushing inc,"394,434",16
Apr 2017,33,Ronald Johnson 17 inc,"358,253",17
Apr 2017,34,Mitchell Kalhorn inc,"826,192",38
Apr 2017,34,Kris Endicott inc,"579,363",28
Apr 2017,34,Nina Conn inc,"513,065",24
Apr 2017,34,Alysia Ceovantes inc,"452,110",25
Apr 2017,34,Mike Sparks inc,"271,237",13
Apr 2017,35,Bobby Ames inc,"232,120",13
Apr 2017,35,William Glaude inc,"169,525",9
Apr 2017,35,James Ellis 6 inc,"107,427",5
Apr 2017,35,Debra Stewart 2 inc,"106,908",5
Apr 2017,35,Thelma Burks inc,"105,729",4
Apr 2017,36,Esther Diaz inc,"757,301",37
Apr 2017,36,Ronald Jones 10 inc,"586,087",29
Apr 2017,36,Hien Herrera inc,"250,630",12
Apr 2017,36,Teresa Volk inc,"249,013",16
Apr 2017,36,Sherry Alexander inc,"173,668",8
Apr 2017,38,Douglas Mccullen inc,"280,043",13
Apr 2017,38,Patricia Odonnell inc,"235,959",14
Apr 2017,38,Ila Boudreaux inc,"179,650",10
Apr 2017,38,Miranda Tiller inc,"179,120",10
Apr 2017,38,Sean Mitchell 2 inc,"156,027",7
Apr 2017,39,Patricia Marble inc,"346,181",18
Apr 2017,39,Jane Terry 3 inc,"217,514",10
Apr 2017,39,James Angles inc,"167,453",8
Apr 2017,39,John Wolfram inc,"141,081",7
Apr 2017,39,Beth Kennedy inc,"118,005",7
Apr 2017,40,Michael Rivas inc,"181,350",10
Apr 2017,40,Kay Tito inc,"175,742",8
Apr 2017,40,Karla Fernandez inc,"129,329",6
Apr 2017,40,Beverly Amodeo inc,"73,225",3
Apr 2017,40,Kathryn Schumpert inc,"69,033",4
Apr 2017,41,Joyce Mendez inc,"449,705",24
Apr 2017,41,Richard Bower inc,"304,055",15
Apr 2017,41,Susan White 5 inc,"303,843",14
Apr 2017,41,Angela Peterson 3 inc,"265,340",12
Apr 2017,41,Elizabeth Mcelyea inc,"240,060",10
Apr 2017,42,Carlene Phelps inc,"597,446",29
Apr 2017,42,Glenn Richmond inc,"528,399",27
Apr 2017,42,Gail Salvato inc,"435,378",21
Apr 2017,42,Louis Kahn inc,"382,671",17
Apr 2017,42,Kathleen Stone 4 inc,"382,161",19
Apr 2017,44,Bart Carney inc,"413,087",21
Apr 2017,44,Ashley Krupa inc,"203,715",10
Apr 2017,44,Jon Moore inc,"118,870",8
Apr 2017,44,Spencer Greenstreet inc,"118,210",5
Apr 2017,44,Tasha Dicostanzo inc,"100,480",5
Apr 2017,46,Asuncion Sandmeier inc,"536,351",31
Apr 2017,46,John Frank 5 inc,"380,040",18
Apr 2017,46,Andrew Jones 9 inc,"319,880",12
Apr 2017,46,Milton Herrera inc,"312,202",16
Apr 2017,46,Kimberly Coleman 3 inc,"207,532",9
Apr 2017,47,Carlos Cook inc,"356,858",18
Apr 2017,47,Jessica Munoz 2 inc,"251,664",12
Apr 2017,47,Myrtle Hendrickson inc,"244,424",10
Apr 2017,47,Emery Stallins inc,"161,926",10
Apr 2017,47,Sammie Thibodeau inc,"152,979",6
Apr 2017,48,Stanley Cuevas inc,"620,646",30
Apr 2017,48,Maria Bugg inc,"462,217",22
Apr 2017,48,Zelda Bozell inc,"459,659",23
Apr 2017,48,George Brown 11 inc,"427,296",23
Apr 2017,48,Bryan Vasquez inc,"415,410",26
Apr 2017,49,Bernice Battles inc,"321,608",16
Apr 2017,49,Kimberly Singleton inc,"244,315",11
Apr 2017,49,Carole Lotton inc,"201,754",10
Apr 2017,49,April Johnson 3 inc,"197,173",9
Apr 2017,49,Paul Luffy inc,"158,600",8
Apr 2017,51,Joanne Yannone inc,"1,271,950",64
Apr 2017,51,Mary Mraz inc,"1,105,105",54
Apr 2017,51,Micheal Styles inc,"962,425",48
Apr 2017,51,Joshua Kuehnert inc,"865,037",46
Apr 2017,51,Eunice Gantt inc,"770,558",39
Apr 2017,52,Jean Biser inc,"504,320",26
Apr 2017,52,Arthur Noel inc,"462,094",22
Apr 2017,52,Kurt Sapp inc,"445,594",25
Apr 2017,52,David Young 7 inc,"409,100",22
Apr 2017,52,Richard Bell 6 inc,"352,159",18
Apr 2017,53,Cornelius Mattson inc,"2,793,951",147
Apr 2017,53,Keith Conley 3 inc,"2,168,370",114
Apr 2017,53,Cynthia Phelps inc,"1,959,434",101
Apr 2017,53,Debra Wilczynski inc,"1,368,185",65
Apr 2017,53,Robert Murdock inc,"1,302,867",68
Apr 2017,54,Eloise Sorbo inc,"311,926",17
Apr 2017,54,Jessica Wilson inc,"105,260",5
Apr 2017,54,Michael Floyd 4 inc,"104,473",5
Apr 2017,54,Cheryl West inc,"91,934",3
Apr 2017,54,Donald Hart inc,"91,324",6
Apr 2017,56,Gerald Miller 3 inc,"894,390",43
Apr 2017,56,Mary Varos inc,"625,418",31
Apr 2017,56,Scott Cornelius inc,"476,367",23
Apr 2017,56,Courtney Mansfield inc,"438,451",20
Apr 2017,56,Christopher Jackson 5 inc,"384,467",21
Apr 2017,57,Jennifer Furr inc,"3,663,091",180
Apr 2017,57,Eddie Plunkett inc,"3,600,003",179
Apr 2017,57,Kenneth Huson inc,"3,001,907",148
Apr 2017,57,John Sumstad inc,"1,706,485",84
Apr 2017,57,Rhonda Wheeler inc,"1,695,200",86
Apr 2017,58,Karen Brendal inc,"337,157",19
Apr 2017,58,Trevor Najera inc,"270,381",14
Apr 2017,58,Walter Stroupe inc,"132,216",7
Apr 2017,58,Michael Devito inc,"127,467",7
Apr 2017,58,Tameka Ray inc,"100,015",4
Apr 2017,60,Lucas Ohara inc,"1,947,340",91
Apr 2017,60,Diane Perez 2 inc,"1,219,283",62
Apr 2017,60,Rafael Goss inc,"1,034,677",45
Apr 2017,60,Virginia Correy inc,"975,203",42
Apr 2017,60,Mary James 10 inc,"914,327",41
Apr 2017,61,Benjamin Elliott 3 inc,"463,561",21
Apr 2017,61,Audrey Thrash inc,"149,294",7
Apr 2017,61,Timothy Johnson 11 inc,"83,984",4
Apr 2017,61,Cecilia Wallick inc,"79,561",3
Apr 2017,61,Alvin Garrison inc,"62,327",3
Apr 2017,62,Richard Jones 18 inc,"478,768",22
Apr 2017,62,Rita Mcreynolds inc,"387,942",22
Apr 2017,62,John Banks 5 inc,"353,511",19
Apr 2017,62,Jodi Doe inc,"271,385",12
Apr 2017,62,Rosemary Silva inc,"271,112",14
Apr 2017,63,Nestor Wright inc,"649,822",29
Apr 2017,63,Johnathan Oldham inc,"519,873",25
Apr 2017,63,Jon Creasey inc,"370,912",19
Apr 2017,63,Raul Arroyo inc,"262,989",12
Apr 2017,63,Robert Boyette inc,"258,844",13
Apr 2017,64,Edgar Johnson 3 inc,"569,512",27
Apr 2017,64,Terri Gamez inc,"445,772",20
Apr 2017,64,Evelia Rexford inc,"355,898",16
Apr 2017,64,Raymond Wahlberg inc,"342,702",16
Apr 2017,64,Tiffani Creekmore inc,"341,220",17
Apr 2017,65,Richard Boehm inc,"229,388",11
Apr 2017,65,Elton Lemons inc,"180,327",8
Apr 2017,65,Alfred Mcbath inc,"133,237",6
Apr 2017,65,Jennifer Boyes inc,"120,331",7
Apr 2017,65,Carol Mccormick 2 inc,"103,159",4
Apr 2017,66,Manuel Furlong inc,"1,490,696",73
Apr 2017,66,Derrick Phillips 2 inc,"424,833",23
Apr 2017,66,David Jagers inc,"271,014",13
Apr 2017,66,Justin Ganser inc,"248,513",12
Apr 2017,66,Josephine Hauser inc,"248,308",10
Apr 2017,68,Nola Bulow inc,"514,716",24
Apr 2017,68,Jarvis Carrington inc,"310,488",16
Apr 2017,68,Rufus Bowman inc,"278,094",14
Apr 2017,68,Mary Franklin 4 inc,"276,875",13
Apr 2017,68,Tammy Brown 5 inc,"208,285",9
Apr 2017,69,John Miller 7 inc,"170,355,020","8,404"
Apr 2017,69,Henry Barnhill inc,"44,665,026","2,217"
Apr 2017,69,Weston Hendon inc,"30,616,616","1,538"
Apr 2017,69,June Gray inc,"29,891,674","1,480"
Apr 2017,69,Pamela Glass 2 inc,"17,622,510",896
Apr 2017,70,Ileen Niss inc,"427,142",21
Apr 2017,70,Margie Dillard inc,"368,704",17
Apr 2017,70,Suk Appling inc,"259,065",11
Apr 2017,70,Lisa Gillen inc,"223,312",13
Apr 2017,70,Myrna Crump inc,"215,927",9
Apr 2017,71,Anita Pineau inc,"91,442",5
Apr 2017,71,Cindy Perry 2 inc,"89,432",5
Apr 2017,71,Anna Blumberg inc,"78,483",4
Apr 2017,71,Lorene Johnston inc,"76,943",3
Apr 2017,71,Larry Lefever inc,"76,673",4
Apr 2017,73,Kathleen Lavole inc,"537,809",26
Apr 2017,73,Marilyn Conatser inc,"184,880",9
Apr 2017,73,Cynthia Burks inc,"172,054",8
Apr 2017,73,Richard Miller 10 inc,"146,940",7
Apr 2017,73,Linda Damon inc,"131,941",7
Apr 2017,74,Donna Talley 2 inc,"290,078",13
Apr 2017,74,Barbara Forney inc,"234,427",12
Apr 2017,74,Alan Prechtl inc,"156,253",10
Apr 2017,74,Donald Perry 4 inc,"141,834",5
Apr 2017,74,Dorothy Beaver inc,"138,493",7
Apr 2017,75,William Gomez 5 inc,"401,872",19
Apr 2017,75,Angel Raper inc,"348,324",17
Apr 2017,75,James Funk 2 inc,"267,781",12
Apr 2017,75,James Tharp 2 inc,"194,943",10
Apr 2017,75,Everett Hertzler inc,"191,892",11
Apr 2017,76,Bridget Kisner inc,"5,474,427",270
Apr 2017,76,Karen Ohare inc,"1,815,948",90
Apr 2017,76,Valerie Fitch inc,"1,591,912",80
Apr 2017,76,Robert Capo inc,"1,540,042",78
Apr 2017,76,Carolyn Reeves 2 inc,"1,502,362",71
Apr 2017,77,Lewis Abram inc,"197,832",11
Apr 2017,77,David Alto inc,"186,348",11
Apr 2017,77,William Schwerdtfeger inc,"169,853",11
Apr 2017,77,Ursula Martinez inc,"148,740",7
Apr 2017,77,Luis Rembert inc,"135,623",7
Apr 2017,78,Edward Levy inc,"583,377",29
Apr 2017,78,John Offerdahl inc,"578,563",31
Apr 2017,78,Kenneth Mullen inc,"535,044",28
Apr 2017,78,James Nesbit 2 inc,"495,600",28
Apr 2017,78,Humberto Ruiz inc,"460,424",23
Apr 2017,79,Ronald Miller 5 inc,"728,038",34
Apr 2017,79,Sabrina Arnold 2 inc,"511,149",23
Apr 2017,79,Martin Adkins inc,"385,778",18
Apr 2017,79,Gregory Edwards inc,"365,477",19
Apr 2017,79,Mary Weymouth inc,"345,277",16
Apr 2017,80,Clara Leung 2 inc,"299,843",14
Apr 2017,80,Eugene Pell inc,"299,102",15
Apr 2017,80,Theodore Martine inc,"270,032",15
Apr 2017,80,David Espitia inc,"116,931",5
Apr 2017,80,Pearl Khan inc,"113,488",6
Apr 2017,81,Debbie Wilkerson inc,"222,847",10
Apr 2017,81,Maria Heller inc,"135,268",7
Apr 2017,81,Anna Perez 2 inc,"121,723",6
Apr 2017,81,Julie Schultz inc,"116,955",6
Apr 2017,81,Cynthia White 4 inc,"112,037",5
Apr 2017,82,Allen Emmons inc,"445,653",23
Apr 2017,82,Marie Husband inc,"348,767",17
Apr 2017,82,Robert Broyles 2 inc,"314,007",14
Apr 2017,82,Gary Fleeger inc,"160,776",8
Apr 2017,82,Carol Watts inc,"157,470",7
Apr 2017,83,Chad Robinson 4 inc,"312,205",15
Apr 2017,83,Joyce Whitehead inc,"294,121",13
Apr 2017,83,John Mendoza 5 inc,"232,899",11
Apr 2017,83,Virgil Cooper inc,"221,704",9
Apr 2017,83,Carlos Rodriguez inc,"211,335",10
Apr 2017,84,Nichole Wilson inc,"204,847",10
Apr 2017,84,Carmen Rapier inc,"198,478",9
Apr 2017,84,Mark Legault inc,"153,504",6
Apr 2017,84,Margaret Matheny inc,"122,674",6
Apr 2017,84,Daniel Helmick inc,"111,030",4
Apr 2017,85,Kathleen Hodgson inc,"196,546",11
Apr 2017,85,Katherine Beaucage inc,"152,506",6
Apr 2017,85,Bobby Mills inc,"151,943",6
Apr 2017,85,Bernard Nisbett inc,"151,669",10
Apr 2017,85,Joseph Allen 5 inc,"126,992",7
Apr 2017,86,Jared Kirk inc,"244,770",12
Apr 2017,86,David Butler 4 inc,"235,141",11
Apr 2017,86,Carol Thomas 2 inc,"188,707",9
Apr 2017,86,Roxanne Conley inc,"114,214",5
Apr 2017,86,Liana Jordan inc,"111,808",6
Apr 2017,87,Doug Moran inc,"3,932,315",199
Apr 2017,87,Tessie Jaramillo inc,"3,787,864",183
Apr 2017,87,Joe Montgomery inc,"3,746,729",192
Apr 2017,87,Frank Garcia 2 inc,"3,607,284",175
Apr 2017,87,Betty Hunter 2 inc,"2,691,113",142
Apr 2017,88,Heather Ramberg inc,"7,351,605",378
Apr 2017,88,Deidre Bright inc,"6,222,268",308
Apr 2017,88,Samantha Jackson inc,"5,485,928",273
Apr 2017,88,Ronald Hussein inc,"5,171,694",259
Apr 2017,88,Kristen Hurtado inc,"4,689,309",231
Apr 2017,89,George Hicks 2 inc,"174,718",9
Apr 2017,89,Carl Fonseca inc,"173,649",10
Apr 2017,89,James Roderick inc,"73,152",3
Apr 2017,89,Keith Milne inc,"68,399",3
Apr 2017,89,Andrew Zuidema inc,"66,456",4
Apr 2017,90,Brian Moffatt inc,"699,794",33
Apr 2017,90,Kevin Watkins 2 inc,"515,707",25
Apr 2017,90,Brett Dejohn inc,"372,494",18
Apr 2017,90,Anthony Stgeorge inc,"293,842",16
Apr 2017,90,Carlos Ashurst inc,"288,298",13
Apr 2017,91,Juana Bouchard inc,"351,284",21
Apr 2017,91,Robert Rainville inc,"324,719",19
Apr 2017,91,Christine Devine inc,"239,093",12
Apr 2017,91,John Flowers 3 inc,"175,122",9
Apr 2017,91,Ramon Bezanson inc,"170,083",8
Apr 2017,92,Jennifer Pancoast inc,"58,779",3
Apr 2017,92,Gail Smith 3 inc,"58,269",3
Apr 2017,92,Annie Watson 3 inc,"29,444",1
Apr 2017,92,Edwin Credit inc,"26,155",1
Apr 2017,92,Francis Hilbert inc,"24,445",1
Apr 2017,94,Dora Dermody inc,"661,856",35
Apr 2017,94,Zachary Solis inc,"347,703",18
Apr 2017,94,Aida Oliver inc,"249,274",14
Apr 2017,94,Christopher Williams 14 inc,"222,066",12
Apr 2017,94,Cassie Franklin inc,"175,550",7
Apr 2017,96,Wendy Meyer inc,"915,688",37
Apr 2017,96,Karen Holsten inc,"881,939",45
Apr 2017,96,Lane Cross inc,"760,319",36
Apr 2017,96,Terisa Smith inc,"582,345",29
Apr 2017,96,Quinton Nelson inc,"548,234",27
Apr 2017,97,Richard Caskey inc,"1,149,550",56
Apr 2017,97,Beverly Lee inc,"888,074",45
Apr 2017,97,Matthew Robles inc,"314,567",15
Apr 2017,97,David Lightfoot 2 inc,"288,147",17
Apr 2017,97,Edward Goodridge inc,"286,463",14
Apr 2017,98,Tara Miller inc,"489,920",23
Apr 2017,98,Marc Standard inc,"344,136",14
Apr 2017,98,Eugene Sapp inc,"317,011",13
Apr 2017,98,Dwight Alexander inc,"304,045",16
Apr 2017,98,Bobby Rogers inc,"286,959",17
Apr 2017,100,Steven Epps inc,"495,355",26
Apr 2017,100,Candace Morton inc,"427,552",21
Apr 2017,100,Earl Brown 2 inc,"387,282",18
Apr 2017,100,Edward Moore 8 inc,"276,844",15
Apr 2017,100,Heather Travis inc,"240,484",10
Apr 2017,101,Scott Delarosa inc,"418,602",17
Apr 2017,101,Carol Tate inc,"367,271",19
Apr 2017,101,Irma Wallace inc,"337,189",15
Apr 2017,101,Terry Pool inc,"281,875",14
Apr 2017,101,Derek Davis 2 inc,"255,006",13
Apr 2017,102,Barry Hart inc,"694,516",33
Apr 2017,102,Cleta Ro inc,"427,807",18
Apr 2017,102,Kimberly Luna inc,"373,410",16
Apr 2017,102,Troy Centeno inc,"365,992",18
Apr 2017,102,Mary Derby inc,"325,205",15
Apr 2017,103,Austin Talty inc,"301,239",11
Apr 2017,103,Brandon Cerverizzo inc,"139,629",7
Apr 2017,103,David Nelson 9 inc,"128,023",6
Apr 2017,103,Michael Martin 11 inc,"126,455",6
Apr 2017,103,Jason Pescatore inc,"98,251",4
Apr 2017,104,Lillian Riffel inc,"524,747",23
Apr 2017,104,Joseph Jacobs inc,"229,554",13
Apr 2017,104,James Thomas 20 inc,"177,397",9
Apr 2017,104,James Ford 4 inc,"162,998",8
Apr 2017,104,Jeffery Wills inc,"141,604",6
Apr 2017,105,Eusebio Steese inc,"694,540",35
Apr 2017,105,Chery Brown inc,"270,069",11
Apr 2017,105,Heather Felton inc,"266,792",13
Apr 2017,105,Robert Hartman inc,"235,457",13
Apr 2017,105,Kyle Kane inc,"210,874",10
Apr 2017,106,Antonia Greenberg inc,"285,641",16
Apr 2017,106,Thomas Crowe 2 inc,"235,454",11
Apr 2017,106,Nancy Padilla inc,"138,938",6
Apr 2017,106,Bryan Porterfield inc,"130,476",7
Apr 2017,106,Marsha Cowan inc,"111,730",5
Apr 2017,107,Julius Kutz inc,"3,146,067",160
Apr 2017,107,Tim Crosby inc,"2,086,348",102
Apr 2017,107,Michael Truelove inc,"1,346,078",65
Apr 2017,107,Mary Duke 3 inc,"980,434",48
Apr 2017,107,Kimberly Subido inc,"719,231",33
Apr 2017,108,Suzanne Hammond inc,"332,675",16
Apr 2017,108,Daniel Jackson 9 inc,"137,960",5
Apr 2017,108,Cynthia Saechao inc,"117,224",5
Apr 2017,108,Virginia Weymouth inc,"106,549",6
Apr 2017,108,Opal Love inc,"105,946",5
Apr 2017,109,Lucille Knights inc,"786,480",38
Apr 2017,109,Jose Ortega inc,"494,011",28
Apr 2017,109,James Rodriguez 23 inc,"325,717",15
Apr 2017,109,Dorothy Park inc,"300,168",12
Apr 2017,109,Maria Jobson inc,"264,134",15
Apr 2017,110,Donna Gonzalez 4 inc,"3,070,724",139
Apr 2017,110,Mae Brown inc,"857,545",41
Apr 2017,110,Connie Thompson 2 inc,"802,257",39
Apr 2017,110,Wanda Hill inc,"645,904",33
Apr 2017,110,Alvin Lucero inc,"518,961",28
Apr 2017,111,John Poremski inc,"349,404",18
Apr 2017,111,Robert Flores 6 inc,"292,186",17
Apr 2017,111,Bruce Hudson inc,"232,871",12
Apr 2017,111,Robert Baker 9 inc,"228,837",13
Apr 2017,111,Bertha Walton inc,"199,610",12
Apr 2017,112,Douglas Richner inc,"220,556",12
Apr 2017,112,Randy Coffland inc,"210,368",9
Apr 2017,112,Linda Black inc,"197,208",9
Apr 2017,112,Tracy Mathews inc,"182,205",6
Apr 2017,112,Michael Brotherton inc,"144,733",6
Apr 2017,113,Edward Howell inc,"216,874",11
Apr 2017,113,Mary Montgomery 4 inc,"172,565",8
Apr 2017,113,Arlene Lehmberg inc,"139,641",11
Apr 2017,113,Marlin Johnson inc,"134,898",7
Apr 2017,113,Ellen Foersterling inc,"120,353",6
Apr 2017,114,Joann Vidinha inc,"280,084",17
Apr 2017,114,Kellie Aguilar inc,"228,370",11
Apr 2017,114,Leonard Crawford inc,"219,467",11
Apr 2017,114,Estella Bewick inc,"189,633",7
Apr 2017,114,Derrick Salmon inc,"163,736",7
Apr 2017,115,John Campbell 11 inc,"446,566",21
Apr 2017,115,Johnny Ahmed inc,"275,751",14
Apr 2017,115,Tina Shipley inc,"266,969",10
Apr 2017,115,Virginia Grissom inc,"239,951",11
Apr 2017,115,Alicia King 2 inc,"208,699",10
Apr 2017,116,Mildred Leitheiser inc,"1,310,616",67
Apr 2017,116,Matthew Barnett 3 inc,"1,189,000",57
Apr 2017,116,Ruby Conley inc,"1,041,209",48
Apr 2017,116,Chad Tobar inc,"862,288",40
Apr 2017,116,Novella Yates inc,"845,959",38
Apr 2017,117,Theresa Martin 3 inc,"2,769,011",134
Apr 2017,117,Dion Cantu inc,"1,875,995",90
Apr 2017,117,Michael Farruggio inc,"1,870,176",91
