City,Revenue,Transactions,Avg_Ticket,Top_Category,Top_Category_Transactions,Top_Category_Revenue
314,"500,387,527","24,888","20,106",A,"14,537","292,238,818"
12,"485,280,529","24,140","20,103",A,"12,621","254,207,178"
11,"467,009,825","23,284","20,057",A,"16,218","324,221,072"
8,"449,091,958","22,401","20,048",A,"13,837","277,162,845"
110,"423,053,651","21,059","20,089",A,"11,382","228,856,094"
30,"419,570,756","20,950","20,027",A,"13,620","272,958,621"
279,"392,589,397","19,628","20,001",A,"10,656","213,670,541"
90,"388,825,036","19,303","20,143",A,"11,210","225,393,990"
24,"374,922,498","18,587","20,171",A,"11,724","236,551,379"
42,"367,781,864","18,201","20,207",A,"9,422","191,064,992"
334,"357,054,673","17,712","20,159",B,"9,955","201,152,657"
33,"338,081,503","16,820","20,100",A,"9,983","200,750,343"
159,"332,788,835","16,711","19,914",A,"10,382","207,232,174"
320,"325,871,859","16,133","20,199",A,"10,838","218,003,635"
64,"321,514,002","16,050","20,032",A,"8,709","174,460,585"
14,"320,779,087","16,023","20,020",A,"9,624","192,269,577"
280,"311,855,505","15,522","20,091",A,"11,751","236,418,365"
188,"310,398,089","15,434","20,111",A,"9,393","188,430,064"
48,"306,055,367","15,190","20,148",A,"7,220","145,663,285"
210,"304,849,174","15,151","20,121",A,"8,424","169,046,800"
288,"303,488,446","15,158","20,022",A,"7,592","152,490,429"
173,"299,479,385","14,908","20,089",A,"9,032","182,116,844"
278,"298,426,878","14,931","19,987",B,"8,148","162,392,498"
147,"291,428,242","14,472","20,137",A,"8,175","165,958,059"
131,"287,690,832","14,373","20,016",A,"8,409","168,513,095"
271,"286,023,748","14,196","20,148",A,"9,049","181,695,212"
339,"285,532,255","14,227","20,070",A,"9,234","185,836,483"
126,"279,062,481","14,008","19,922",A,"8,298","164,937,438"
168,"279,029,516","13,906","20,065",A,"8,551","171,925,797"
34,"275,016,365","13,740","20,016",A,"9,052","181,165,516"
276,"274,537,961","13,640","20,127",A,"8,217","166,146,602"
189,"268,331,566","13,438","19,968",A,"8,720","173,160,554"
171,"266,103,363","13,251","20,082",A,"6,425","129,197,101"
109,"255,913,219","12,773","20,035",A,"7,756","155,121,882"
297,"253,192,786","12,579","20,128",A,"5,868","118,990,740"
247,"253,035,463","12,480","20,275",A,"7,413","150,725,506"
78,"249,625,284","12,541","19,905",A,"8,118","161,198,145"
102,"247,379,096","12,326","20,070",A,"8,069","161,820,028"
292,"247,183,667","12,218","20,231",A,"7,907","160,315,849"
300,"246,017,671","12,166","20,222",B,"5,925","120,047,787"
174,"239,291,465","11,900","20,109",A,"7,829","158,137,057"
242,"237,601,063","11,770","20,187",A,"7,195","145,351,885"
282,"234,954,977","11,685","20,107",A,"8,376","168,678,762"
268,"234,596,250","11,676","20,092",A,"7,662","154,407,854"
232,"233,872,066","11,591","20,177",A,"8,983","181,069,374"
56,"225,993,623","11,290","20,017",A,"7,111","141,985,085"
155,"225,619,817","11,209","20,128",A,"7,781","156,686,948"
296,"224,870,391","11,150","20,168",A,"6,288","127,859,839"
238,"220,640,825","11,012","20,036",A,"6,074","121,550,640"
347,"220,145,121","10,927","20,147",A,"5,990","120,273,869"
250,"218,432,322","10,933","19,979",A,"6,866","137,514,144"
52,"216,459,551","10,730","20,173",A,"5,373","108,808,598"
181,"215,502,567","10,686","20,167",B,"5,479","110,784,215"
209,"215,425,342","10,655","20,218",A,"7,325","148,385,442"
308,"214,885,359","10,681","20,118",A,"7,007","141,306,921"
3,"213,791,403","10,661","20,054",A,"6,898","137,987,731"
272,"208,806,578","10,449","19,983",A,"6,090","121,817,717"
135,"206,880,145","10,218","20,247",A,"5,596","113,117,436"
219,"197,842,768","9,920","19,944",A,"5,703","113,631,107"
36,"197,514,902","9,848","20,056",A,"8,133","163,402,899"
253,"196,353,781","9,755","20,129",A,"5,972","120,353,251"
136,"193,979,484","9,644","20,114",A,"5,006","100,449,801"
226,"189,845,086","9,431","20,130",A,"4,627","93,048,762"
323,"189,161,934","9,404","20,115",A,"5,794","116,474,368"
211,"189,031,992","9,360","20,196",A,"5,221","105,393,825"
66,"186,725,204","9,317","20,041",A,"5,167","103,377,045"
125,"183,866,524","9,154","20,086",A,"4,240","85,282,234"
259,"182,300,872","9,039","20,168",A,"5,068","102,390,707"
157,"179,499,889","8,933","20,094",A,"6,752","135,661,855"
79,"179,425,428","8,890","20,183",A,"4,409","89,811,662"
245,"178,559,763","8,867","20,138",A,"5,375","108,047,489"
41,"178,450,101","8,882","20,091",B,"4,324","86,851,337"
330,"175,479,552","8,730","20,101",A,"4,615","93,405,047"
162,"175,212,914","8,711","20,114",A,"5,868","117,579,815"
329,"174,694,913","8,697","20,087",A,"5,792","117,119,812"
97,"174,540,115","8,652","20,173",A,"6,565","132,283,128"
29,"170,527,895","8,455","20,169",A,"4,628","93,677,798"
10,"168,621,647","8,296","20,326",A,"5,293","108,330,655"
261,"167,596,596","8,360","20,047",A,"4,901","98,343,898"
13,"164,556,089","8,110","20,291",A,"4,460","90,471,352"
234,"163,242,010","8,096","20,163",A,"4,669","94,765,698"
256,"160,473,246","7,974","20,125",A,"4,972","99,935,800"
170,"159,217,912","7,910","20,129",A,"3,900","78,452,759"
341,"156,649,506","7,760","20,187",A,"4,304","86,552,055"
62,"155,940,041","7,816","19,951",A,"5,078","101,474,014"
191,"155,450,226","7,711","20,160",B,"3,736","75,799,132"
124,"154,245,965","7,644","20,179",A,"5,646","113,963,024"
156,"153,729,150","7,647","20,103",A,"4,300","86,799,528"
218,"152,670,246","7,679","19,882",A,"4,029","80,273,599"
94,"150,056,560","7,438","20,174",A,"3,700","74,092,058"
325,"147,510,938","7,335","20,111",A,"4,231","85,215,316"
129,"143,280,686","7,117","20,132",A,"5,456","109,548,909"
295,"141,845,716","7,060","20,091",A,"4,390","88,015,374"
304,"141,137,660","7,004","20,151",A,"3,552","71,396,279"
318,"139,555,467","7,002","19,931",A,"3,848","76,282,083"
148,"138,977,414","6,919","20,086",A,"3,661","73,447,592"
98,"137,453,711","6,846","20,078",A,"4,914","98,773,875"
223,"133,333,937","6,660","20,020",A,"4,536","90,678,362"
163,"132,828,886","6,638","20,010",B,"3,975","79,669,005"
190,"131,287,344","6,503","20,189",A,"3,748","76,014,680"
175,"130,123,244","6,523","19,948",B,"3,092","61,563,329"
101,"128,609,513","6,400","20,095",A,"4,413","88,583,756"
265,"126,899,984","6,287","20,185",A,"3,474","70,251,584"
38,"126,537,296","6,285","20,133",A,"2,957","59,920,967"
150,"124,947,865","6,178","20,225",A,"3,965","80,134,822"
6,"120,844,701","6,009","20,111",A,"3,009","60,213,126"
303,"120,687,530","6,002","20,108",A,"2,931","58,561,225"
22,"119,629,549","5,946","20,119",A,"3,377","68,300,333"
299,"119,068,165","5,897","20,191",A,"4,113","83,615,998"
172,"118,589,936","5,861","20,234",A,"3,271","66,389,485"
46,"118,276,531","5,890","20,081",A,"4,206","84,485,718"
260,"118,007,089","5,892","20,028",A,"3,885","77,706,306"
180,"117,300,149","5,883","19,939",A,"4,196","84,119,555"
214,"117,076,606","5,805","20,168",A,"3,077","61,544,865"
28,"116,841,828","5,796","20,159",A,"3,631","73,121,273"
187,"114,207,199","5,666","20,157",B,"2,596","52,077,131"
63,"113,984,694","5,662","20,132",A,"2,831","56,459,994"
165,"113,983,978","5,655","20,156",A,"2,913","58,771,503"
328,"113,911,357","5,643","20,186",A,"3,195","64,595,893"
23,"113,527,222","5,642","20,122",A,"2,911","58,356,852"
105,"113,296,412","5,627","20,134",A,"3,129","62,956,761"
7,"113,249,420","5,644","20,065",B,"2,927","58,266,742"
281,"112,115,073","5,595","20,038",A,"3,437","68,604,546"
123,"111,216,325","5,517","20,159",A,"4,110","82,649,874"
193,"109,821,174","5,450","20,151",A,"3,118","62,198,906"
301,"107,299,486","5,300","20,245",A,"2,809","57,010,366"
9,"106,979,354","5,295","20,204",B,"2,609","52,765,381"
111,"105,856,781","5,264","20,110",A,"3,635","73,669,813"
270,"105,821,343","5,282","20,034",A,"3,080","61,826,022"
119,"104,648,646","5,187","20,175",A,"3,212","64,926,050"
229,"104,495,579","5,225","19,999",A,"2,986","59,047,483"
186,"103,562,545","5,158","20,078",A,"3,412","68,698,414"
115,"103,282,138","5,124","20,157",A,"3,193","63,767,810"
167,"102,596,071","5,114","20,062",A,"3,189","63,939,407"
311,"102,385,816","5,090","20,115",A,"3,220","64,927,763"
82,"102,174,884","5,061","20,189",A,"3,034","61,467,534"
195,"101,201,878","5,034","20,104",A,"3,559","71,690,580"
100,"99,869,772","4,986","20,030",A,"3,155","63,053,509"
216,"99,357,610","4,968","20,000",A,"2,854","57,564,376"
145,"98,581,324","4,897","20,131",A,"3,266","65,643,623"
255,"98,281,112","4,902","20,049",B,"2,417","48,316,848"
275,"95,282,695","4,715","20,208",A,"2,579","51,763,861"
146,"95,174,171","4,731","20,117",A,"2,626","52,736,247"
91,"94,287,795","4,687","20,117",A,"2,565","52,276,935"
239,"93,761,384","4,698","19,958",A,"2,617","51,514,786"
337,"93,106,301","4,616","20,170",A,"2,844","56,743,191"
182,"92,844,577","4,606","20,157",A,"2,408","48,449,670"
128,"92,519,778","4,583","20,188",A,"3,258","65,660,915"
75,"92,177,767","4,563","20,201",A,"3,076","62,452,628"
74,"91,463,570","4,575","19,992",B,"2,208","44,162,797"
153,"91,254,845","4,547","20,069",A,"2,613","52,698,872"
266,"91,144,524","4,566","19,962",A,"2,197","43,563,662"
201,"90,698,843","4,478","20,254",A,"2,857","57,745,784"
220,"89,819,103","4,455","20,161",A,"2,867","57,750,897"
197,"89,685,644","4,443","20,186",A,"2,884","58,339,092"
194,"88,825,296","4,386","20,252",A,"3,201","64,406,657"
342,"88,619,791","4,351","20,368",A,"2,194","44,429,144"
166,"88,302,649","4,369","20,211",A,"2,431","49,563,626"
58,"87,807,780","4,368","20,103",A,"2,071","41,767,879"
2,"87,454,563","4,338","20,160",A,"2,459","49,834,117"
183,"86,473,720","4,341","19,920",A,"2,619","52,546,993"
184,"86,282,055","4,299","20,070",A,"2,788","56,087,668"
198,"85,171,830","4,223","20,169",A,"2,448","49,486,412"
313,"83,652,644","4,121","20,299",A,"2,593","52,694,876"
70,"83,632,062","4,155","20,128",A,"2,525","51,048,694"
49,"83,344,704","4,157","20,049",A,"2,405","48,531,209"
68,"82,542,833","4,127","20,001",A,"2,671","53,625,711"
230,"81,752,714","4,074","20,067",A,"2,845","56,994,253"
203,"80,950,443","4,033","20,072",A,"2,865","57,479,566"
83,"80,745,618","4,031","20,031",A,"2,796","56,064,080"
144,"79,821,497","3,952","20,198",A,"1,837","36,650,928"
120,"79,168,812","3,934","20,124",B,"1,873","37,595,707"
139,"78,496,616","3,918","20,035",A,"2,370","47,284,867"
294,"78,112,221","3,876","20,153",A,"2,628","53,093,711"
312,"77,302,576","3,874","19,954",A,"1,975","39,718,271"
290,"76,726,105","3,821","20,080",B,"1,812","36,498,407"
73,"76,538,873","3,786","20,216",B,"1,670","33,801,405"
310,"76,456,703","3,810","20,067",A,"1,998","40,276,830"
307,"76,120,460","3,782","20,127",A,"2,347","47,415,647"
208,"75,956,679","3,751","20,250",A,"2,579","52,457,456"
85,"75,727,087","3,783","20,018",A,"1,693","34,008,910"
267,"75,664,494","3,789","19,970",A,"2,491","50,123,235"
338,"75,130,168","3,683","20,399",A,"2,610","53,137,677"
39,"73,765,097","3,682","20,034",A,"2,447","49,072,085"
47,"73,563,417","3,668","20,055",A,"2,223","44,720,421"
309,"72,088,570","3,581","20,131",A,"2,106","42,478,280"
106,"72,041,809","3,592","20,056",A,"2,621","52,469,071"
252,"70,114,124","3,509","19,981",A,"2,000","39,879,537"
44,"68,783,606","3,418","20,124",B,"1,880","37,846,151"
262,"65,667,487","3,211","20,451",A,"1,526","31,021,016"
104,"64,110,507","3,185","20,129",A,"1,719","34,192,646"
80,"63,968,613","3,167","20,198",A,"2,090","42,341,945"
108,"63,653,756","3,135","20,304",A,"1,700","34,622,174"
206,"63,495,397","3,187","19,923",A,"1,882","37,181,964"
264,"63,029,326","3,142","20,060",A,"1,981","40,148,782"
240,"61,560,071","2,995","20,554",A,"1,644","33,547,322"
335,"61,455,924","3,059","20,090",A,"2,306","46,310,390"
114,"61,266,064","3,055","20,054",A,"1,676","33,734,088"
343,"61,086,882","3,054","20,002",A,"1,733","34,874,149"
269,"61,014,573","3,024","20,177",A,"1,540","31,170,097"
287,"60,946,754","3,073","19,833",A,"1,808","35,945,599"
228,"60,926,474","3,003","20,289",A,"1,790","36,489,698"
142,"60,606,978","3,040","19,937",A,"1,573","31,446,896"
16,"57,878,775","2,871","20,160",A,"1,771","35,895,706"
285,"57,856,321","2,885","20,054",A,"1,652","32,887,159"
224,"57,411,370","2,865","20,039",A,"1,970","39,497,349"
236,"56,186,569","2,778","20,226",A,"1,683","33,958,614"
258,"54,044,658","2,733","19,775",A,"1,277","25,240,971"
40,"53,833,408","2,684","20,057",A,"1,296","26,302,912"
298,"52,942,076","2,645","20,016",A,"1,843","36,740,785"
345,"52,151,272","2,588","20,151",A,"1,874","37,708,939"
35,"51,368,805","2,576","19,941",B,"1,147","23,259,358"
103,"50,894,849","2,555","19,920",A,"1,653","32,929,825"
26,"49,848,345","2,498","19,955",A,"1,639","32,736,757"
151,"49,800,536","2,484","20,049",A,"1,521","30,225,642"
133,"49,785,739","2,473","20,132",A,"1,189","24,017,466"
77,"48,700,278","2,430","20,041",A,"1,754","34,932,567"
113,"48,695,736","2,431","20,031",A,"1,347","26,983,670"
18,"48,589,920","2,407","20,187",A,"1,447","29,255,187"
321,"48,578,989","2,398","20,258",B,"1,077","21,777,407"
61,"47,554,677","2,364","20,116",A,"1,234","24,763,634"
65,"47,419,256","2,352","20,161",A,"1,202","23,858,292"
86,"46,974,053","2,339","20,083",A,"1,470","29,523,394"
222,"43,879,278","2,185","20,082",A,"1,786","35,818,073"
336,"43,742,122","2,198","19,901",A,"1,169","23,270,120"
118,"42,747,954","2,133","20,041",A,"1,365","27,603,684"
81,"41,112,360","2,022","20,333",A,"1,192","24,747,037"
235,"40,960,976","2,015","20,328",A,"1,080","22,275,013"
32,"40,398,463","2,027","19,930",A,"1,226","24,372,658"
326,"39,969,135","2,006","19,925",A,"1,067","21,300,914"
54,"39,424,061","2,019","19,527",A,872,"17,299,665"
293,"37,864,053","1,893","20,002",A,"1,437","28,594,503"
112,"37,678,423","1,885","19,989",A,"1,030","20,743,772"
84,"37,454,027","1,867","20,061",A,858,"17,190,489"
327,"36,956,715","1,867","19,795",A,"1,369","27,104,918"
254,"36,403,213","1,786","20,383",A,842,"17,041,470"
237,"36,020,525","1,820","19,791",A,"1,222","24,139,256"
227,"35,736,214","1,798","19,876",A,"1,036","20,786,453"
204,"35,114,494","1,730","20,297",A,"1,133","22,904,895"
71,"33,287,668","1,645","20,236",A,809,"16,203,171"
306,"30,366,049","1,522","19,951",A,"1,185","23,722,104"
221,"30,269,632","1,483","20,411",A,790,"16,437,341"
130,"29,552,881","1,459","20,256",A,770,"15,668,412"
205,"27,532,418","1,384","19,893",A,875,"17,595,416"
122,"26,435,733","1,349","19,597",A,"1,181","23,007,843"
89,"25,236,096","1,248","20,221",A,645,"13,463,487"
215,"24,907,341","1,219","20,433",A,862,"17,554,233"
178,"21,992,821","1,098","20,030",A,540,"10,731,756"
207,"19,996,547",997,"20,057",B,511,"10,091,929"
263,"19,823,359","1,001","19,804",A,569,"11,461,212"
315,"19,599,956",980,"20,000",A,545,"10,920,199"
319,"7,326,968",381,"19,231",A,219,"4,163,476"
92,"4,356,361",210,"20,745",B,127,"2,691,633"
273,"3,221,058",152,"21,191",A,104,"2,062,102"
316,"759,651",36,"21,101",B,20,"414,438"
185,"209,107",13,"16,085",A,9,"155,686"
